Traffic Report

Time  Street A  Street B  Street C  Street D
 125  RED       RED       RED       RED   
 126  RED       RED       RED       RED   
 127  RED       RED       RED       RED   
 128  RED       RED       RED       RED   
 129  RED       RED       RED       RED   
 130  RED       RED       RED       RED   
 131  RED       RED       RED       RED   
 132  RED       RED       RED       RED   
 133  RED       RED       RED       RED   
 134  RED       RED       RED       RED   
 135  RED       RED       RED       RED   
 136  RED       RED       RED       RED   
 137  RED       RED       RED       RED   
 138  RED       RED       GREEN     GREEN 
 139  RED       RED       GREEN     GREEN 
 140  RED       RED       GREEN     GREEN 
 141  YELLOW    YELLOW    GREEN     GREEN 
 142  YELLOW    YELLOW    GREEN     GREEN 
 143  YELLOW    YELLOW    GREEN     GREEN 
 144  YELLOW    YELLOW    GREEN     GREEN 
 145  YELLOW    YELLOW    GREEN     GREEN 
 146  GREEN     GREEN     RED       RED   
 147  GREEN     GREEN     RED       RED   
 148  GREEN     GREEN     RED       RED   
 149  GREEN     GREEN     RED       RED   
 150  GREEN     GREEN     RED       RED   
 151  GREEN     GREEN     RED       RED   
 152  GREEN     GREEN     RED       RED   
